(.data11) PS C:\Users\Usuario\Desktop\Nueva carpeta\.data11\mi-proyecto-dataops>  python producers\producer_kinesis.py
1/100 - User: user-1 - Shard: shardId-000000000001
2/100 - User: user-2 - Shard: shardId-000000000000
3/100 - User: user-3 - Shard: shardId-000000000000
4/100 - User: user-4 - Shard: shardId-000000000000
5/100 - User: user-5 - Shard: shardId-000000000000
6/100 - User: user-6 - Shard: shardId-000000000000
7/100 - User: user-7 - Shard: shardId-000000000000
8/100 - User: user-8 - Shard: shardId-000000000001
9/100 - User: user-9 - Shard: shardId-000000000001
10/100 - User: user-10 - Shard: shardId-000000000001
11/100 - User: user-11 - Shard: shardId-000000000001
12/100 - User: user-12 - Shard: shardId-000000000001
13/100 - User: user-13 - Shard: shardId-000000000000
14/100 - User: user-14 - Shard: shardId-000000000001
15/100 - User: user-15 - Shard: shardId-000000000001
16/100 - User: user-16 - Shard: shardId-000000000001
17/100 - User: user-17 - Shard: shardId-000000000000
18/100 - User: user-18 - Shard: shardId-000000000000
19/100 - User: user-19 - Shard: shardId-000000000000
20/100 - User: user-20 - Shard: shardId-000000000000
21/100 - User: user-21 - Shard: shardId-000000000000
22/100 - User: user-22 - Shard: shardId-000000000001
23/100 - User: user-23 - Shard: shardId-000000000000
24/100 - User: user-24 - Shard: shardId-000000000000
25/100 - User: user-25 - Shard: shardId-000000000000
26/100 - User: user-26 - Shard: shardId-000000000001
27/100 - User: user-27 - Shard: shardId-000000000001
28/100 - User: user-28 - Shard: shardId-000000000000
29/100 - User: user-29 - Shard: shardId-000000000001
30/100 - User: user-30 - Shard: shardId-000000000001
31/100 - User: user-31 - Shard: shardId-000000000000
32/100 - User: user-32 - Shard: shardId-000000000000
33/100 - User: user-33 - Shard: shardId-000000000000
34/100 - User: user-34 - Shard: shardId-000000000000
35/100 - User: user-35 - Shard: shardId-000000000001
36/100 - User: user-36 - Shard: shardId-000000000000
37/100 - User: user-37 - Shard: shardId-000000000001
38/100 - User: user-38 - Shard: shardId-000000000001
39/100 - User: user-39 - Shard: shardId-000000000000
40/100 - User: user-40 - Shard: shardId-000000000001
41/100 - User: user-41 - Shard: shardId-000000000000
42/100 - User: user-42 - Shard: shardId-000000000000
43/100 - User: user-43 - Shard: shardId-000000000000
44/100 - User: user-44 - Shard: shardId-000000000001
45/100 - User: user-45 - Shard: shardId-000000000001
46/100 - User: user-46 - Shard: shardId-000000000001
47/100 - User: user-47 - Shard: shardId-000000000000
48/100 - User: user-48 - Shard: shardId-000000000000
49/100 - User: user-49 - Shard: shardId-000000000001
50/100 - User: user-50 - Shard: shardId-000000000001
51/100 - User: user-51 - Shard: shardId-000000000001
52/100 - User: user-52 - Shard: shardId-000000000001
53/100 - User: user-53 - Shard: shardId-000000000001
54/100 - User: user-54 - Shard: shardId-000000000000
55/100 - User: user-55 - Shard: shardId-000000000000
56/100 - User: user-56 - Shard: shardId-000000000001
57/100 - User: user-57 - Shard: shardId-000000000000
58/100 - User: user-58 - Shard: shardId-000000000000
59/100 - User: user-59 - Shard: shardId-000000000001
60/100 - User: user-60 - Shard: shardId-000000000001
61/100 - User: user-61 - Shard: shardId-000000000000
62/100 - User: user-62 - Shard: shardId-000000000000
63/100 - User: user-63 - Shard: shardId-000000000001
64/100 - User: user-64 - Shard: shardId-000000000000
65/100 - User: user-65 - Shard: shardId-000000000000
66/100 - User: user-66 - Shard: shardId-000000000000
67/100 - User: user-67 - Shard: shardId-000000000001
68/100 - User: user-68 - Shard: shardId-000000000000
69/100 - User: user-69 - Shard: shardId-000000000001
70/100 - User: user-70 - Shard: shardId-000000000001
71/100 - User: user-71 - Shard: shardId-000000000000
72/100 - User: user-72 - Shard: shardId-000000000000
73/100 - User: user-73 - Shard: shardId-000000000001
74/100 - User: user-74 - Shard: shardId-000000000001
75/100 - User: user-75 - Shard: shardId-000000000001
76/100 - User: user-76 - Shard: shardId-000000000000
77/100 - User: user-77 - Shard: shardId-000000000001
78/100 - User: user-78 - Shard: shardId-000000000001
79/100 - User: user-79 - Shard: shardId-000000000000
80/100 - User: user-80 - Shard: shardId-000000000001
81/100 - User: user-81 - Shard: shardId-000000000001
82/100 - User: user-82 - Shard: shardId-000000000000
83/100 - User: user-83 - Shard: shardId-000000000000
84/100 - User: user-84 - Shard: shardId-000000000001
85/100 - User: user-85 - Shard: shardId-000000000000
86/100 - User: user-86 - Shard: shardId-000000000001
87/100 - User: user-87 - Shard: shardId-000000000001
88/100 - User: user-88 - Shard: shardId-000000000001
89/100 - User: user-89 - Shard: shardId-000000000001
90/100 - User: user-90 - Shard: shardId-000000000000
91/100 - User: user-91 - Shard: shardId-000000000000
92/100 - User: user-92 - Shard: shardId-000000000000
93/100 - User: user-93 - Shard: shardId-000000000001
94/100 - User: user-94 - Shard: shardId-000000000001
95/100 - User: user-95 - Shard: shardId-000000000001
96/100 - User: user-96 - Shard: shardId-000000000000
97/100 - User: user-97 - Shard: shardId-000000000001
98/100 - User: user-98 - Shard: shardId-000000000000
99/100 - User: user-99 - Shard: shardId-000000000001
100/100 - User: user-100 - Shard: shardId-000000000001
Ingesta finalizada: 100 eventos enviados.
